time	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt
2019-09-01	45001	Abbeville	Overall	NA	NA	NA	NA	NA	71	NA	NA	NA	NA	NA	NA	NA	2.17	NA	NA
2020-09-01	45001	Abbeville	Overall	NA	NA	NA	NA	NA	67	NA	NA	NA	NA	NA	NA	NA	2.09	NA	NA
2021-09-01	45001	Abbeville	Overall	NA	NA	NA	NA	NA	87	NA	NA	NA	NA	NA	NA	NA	2.74	NA	NA
2022-09-01	45001	Abbeville	Overall	NA	NA	NA	NA	NA	124	NA	NA	NA	NA	NA	NA	NA	3.86	NA	NA
2023-09-01	45001	Abbeville	Overall	NA	NA	NA	NA	NA	143	NA	NA	NA	NA	NA	NA	NA	4.44	NA	NA
2019-09-01	45003	Aiken	Overall	NA	NA	NA	NA	NA	170	NA	NA	NA	NA	NA	NA	NA	0.6599999999999999	NA	NA
2020-09-01	45003	Aiken	Overall	NA	NA	NA	NA	NA	192	NA	NA	NA	NA	NA	NA	NA	0.75	NA	NA
2021-09-01	45003	Aiken	Overall	NA	NA	NA	NA	NA	188	NA	NA	NA	NA	NA	NA	NA	0.75	NA	NA
2022-09-01	45003	Aiken	Overall	NA	NA	NA	NA	NA	224	NA	NA	NA	NA	NA	NA	NA	0.8600000000000001	NA	NA
2023-09-01	45003	Aiken	Overall	NA	NA	NA	NA	NA	281	NA	NA	NA	NA	NA	NA	NA	1.09	NA	NA
2019-09-01	45005	Allendale	Overall	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.18	NA	NA
2020-09-01	45005	Allendale	Overall	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	0.48000000000000004	NA	NA
2021-09-01	45005	Allendale	Overall	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.11	NA	NA
2022-09-01	45005	Allendale	Overall	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA
2023-09-01	45005	Allendale	Overall	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.22	NA	NA
2019-09-01	45007	Anderson	Overall	NA	NA	NA	NA	NA	431	NA	NA	NA	NA	NA	NA	NA	1.33	NA	NA
2020-09-01	45007	Anderson	Overall	NA	NA	NA	NA	NA	491	NA	NA	NA	NA	NA	NA	NA	1.51	NA	NA
2021-09-01	45007	Anderson	Overall	NA	NA	NA	NA	NA	518	NA	NA	NA	NA	NA	NA	NA	1.6300000000000001	NA	NA
